job,output_level,num_output_files,total_output_size_bytes,num_input_records,num_output_records,num_subcompactions,input_summary,compaction_desc,compaction_reason,input_data_size_bytes,wall_us,cpu_us,write_io_us,read_io_us,file_write_nanos,file_fsync_nanos,file_range_sync_nanos,file_prepare_write_nanos,has_io_stats,pattern,wall_ms,cpu_ms,read_io_ms,write_io_ms,label,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
3,1,47,284779348,1863950,1855606,16,41@L0,41@L0 → 47@L1,LevelL0FilesNum,286983331,373169,1467064,143765.489,0.0,141903967,0,0,1861522,True,L0->L1,373.169,1467.064,0.0,143.765489,"sst=8MB, input=32sst (256MB), value=128B, sub=16",8,256,32,128,16,5
3,1,35,284764538,1863950,1855606,2,41@L0,41@L0 → 35@L1,LevelL0FilesNum,286983331,427214,560852,54800.436,0.0,54143484,0,0,656952,True,L0->L1,427.214,560.852,0.0,54.800436000000005,"sst=8MB, input=32sst (256MB), value=128B, sub=2",8,256,32,128,2,1
3,1,35,284764538,1863950,1855606,2,41@L0,41@L0 → 35@L1,LevelL0FilesNum,286983331,419482,551605,55040.201,0.0,54393108,0,0,647093,True,L0->L1,419.482,551.605,0.0,55.040201,"sst=8MB, input=32sst (256MB), value=128B, sub=2",8,256,32,128,2,2
3,1,35,284764538,1863950,1855606,2,41@L0,41@L0 → 35@L1,LevelL0FilesNum,286983331,427898,559551,54936.442,0.0,54295011,0,0,641431,True,L0->L1,427.898,559.551,0.0,54.936442,"sst=8MB, input=32sst (256MB), value=128B, sub=2",8,256,32,128,2,3
3,1,35,284764538,1863950,1855606,2,41@L0,41@L0 → 35@L1,LevelL0FilesNum,286983331,426490,560030,55721.847,0.0,55080436,0,0,641411,True,L0->L1,426.49,560.03,0.0,55.721847000000004,"sst=8MB, input=32sst (256MB), value=128B, sub=2",8,256,32,128,2,4
3,1,35,284764538,1863950,1855606,2,41@L0,41@L0 → 35@L1,LevelL0FilesNum,286983331,417299,550183,53964.517,0.0,53332434,0,0,632083,True,L0->L1,417.299,550.183,0.0,53.964517,"sst=8MB, input=32sst (256MB), value=128B, sub=2",8,256,32,128,2,5
3,1,63,284800122,1863950,1855606,32,41@L0,41@L0 → 63@L1,LevelL0FilesNum,286983331,669461,1605832,346727.732,0.0,343939858,0,0,2787874,True,L0->L1,669.461,1605.832,0.0,346.727732,"sst=8MB, input=32sst (256MB), value=128B, sub=32",8,256,32,128,32,1
3,1,63,284800122,1863950,1855606,32,41@L0,41@L0 → 63@L1,LevelL0FilesNum,286983331,639190,1568908,260214.21,0.0,257855504,0,0,2358706,True,L0->L1,639.19,1568.908,0.0,260.21421,"sst=8MB, input=32sst (256MB), value=128B, sub=32",8,256,32,128,32,2
3,1,63,284800122,1863950,1855606,32,41@L0,41@L0 → 63@L1,LevelL0FilesNum,286983331,637229,1888442,351316.665,0.0,348037814,0,0,3278851,True,L0->L1,637.229,1888.442,0.0,351.316665,"sst=8MB, input=32sst (256MB), value=128B, sub=32",8,256,32,128,32,3
3,1,63,284800122,1863950,1855606,32,41@L0,41@L0 → 63@L1,LevelL0FilesNum,286983331,628654,1701376,324213.251,0.0,320212510,0,0,4000741,True,L0->L1,628.654,1701.376,0.0,324.213251,"sst=8MB, input=32sst (256MB), value=128B, sub=32",8,256,32,128,32,4
