secs_elapsed,cpu_pct,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
0.307,1012.8664,8,256,32,256,16,2
0.103,195.845,8,256,32,256,16,3
0.207,384.8029,8,256,32,256,16,3
0.308,1054.0346,8,256,32,256,16,3
0.102,236.8638,8,256,32,256,16,4
0.207,353.4631,8,256,32,256,16,4
0.308,1056.5191,8,256,32,256,16,4
0.102,217.3392,8,256,32,256,16,5
0.208,413.0756,8,256,32,256,16,5
0.31,824.3141,8,256,32,256,16,5
0.101,109.5098,8,256,32,256,2,1
0.201,139.1491,8,256,32,256,2,1
0.302,79.5447,8,256,32,256,2,1
0.101,109.5174,8,256,32,256,2,2
0.201,139.2562,8,256,32,256,2,2
0.302,79.5342,8,256,32,256,2,2
0.101,119.0981,8,256,32,256,2,3
0.202,118.7145,8,256,32,256,2,3
0.303,89.0863,8,256,32,256,2,3
0.101,119.3653,8,256,32,256,2,4
0.201,109.3561,8,256,32,256,2,4
0.302,79.5375,8,256,32,256,2,4
0.101,109.5175,8,256,32,256,2,5
0.201,119.35,8,256,32,256,2,5
0.302,89.4857,8,256,32,256,2,5
0.103,294.6432,8,256,32,256,32,1
0.205,303.8676,8,256,32,256,32,1
0.309,402.5426,8,256,32,256,32,1
0.41,1106.7793,8,256,32,256,32,1
0.514,87.1374,8,256,32,256,32,1
0.616,459.8417,8,256,32,256,32,1
0.103,195.9707,8,256,32,256,32,2
0.206,409.9671,8,256,32,256,32,2
0.308,399.1205,8,256,32,256,32,2
0.412,926.9489,8,256,32,256,32,2
0.514,264.2161,8,256,32,256,32,2
0.615,29.6011,8,256,32,256,32,2
0.104,314.493,8,256,32,256,32,3
0.207,369.5747,8,256,32,256,32,3
0.309,379.7429,8,256,32,256,32,3
0.411,977.3261,8,256,32,256,32,3
0.513,97.7072,8,256,32,256,32,3
0.104,299.5828,8,256,32,256,32,4
0.207,391.4223,8,256,32,256,32,4
0.309,487.3236,8,256,32,256,32,4
0.411,966.1325,8,256,32,256,32,4
0.513,78.4998,8,256,32,256,32,4
0.102,275.9195,8,256,32,256,32,5
0.204,353.1996,8,256,32,256,32,5
0.308,338.7312,8,256,32,256,32,5
0.41,980.7126,8,256,32,256,32,5
0.514,173.2681,8,256,32,256,32,5
0.615,108.7329,8,256,32,256,32,5
0.101,109.4776,8,256,32,256,4,1
0.201,218.8081,8,256,32,256,4,1
0.101,159.2739,8,256,32,256,4,2
0.201,159.0777,8,256,32,256,4,2
0.101,159.2429,8,256,32,256,4,3
0.201,79.5901,8,256,32,256,4,3
0.101,149.2686,8,256,32,256,4,4
0.201,159.1142,8,256,32,256,4,4
0.101,119.4493,8,256,32,256,4,5
0.201,238.7736,8,256,32,256,4,5
0.101,168.2663,8,256,32,256,8,1
0.203,632.7957,8,256,32,256,8,1
0.102,187.5529,8,256,32,256,8,2
0.203,581.336,8,256,32,256,8,2
0.101,168.6361,8,256,32,256,8,3
0.202,476.0447,8,256,32,256,8,3
0.101,237.8504,8,256,32,256,8,4
0.203,561.8326,8,256,32,256,8,4
0.102,206.5962,8,256,32,256,8,5
0.204,500.959,8,256,32,256,8,5
0.101,39.8136,8,256,32,32,1,1
0.201,99.5021,8,256,32,32,1,1
0.302,99.4399,8,256,32,32,1,1
0.402,89.556,8,256,32,32,1,1
0.503,99.5122,8,256,32,32,1,1
0.603,89.5756,8,256,32,32,1,1
0.704,79.5846,8,256,32,32,1,1
0.805,69.4796,8,256,32,32,1,1
0.905,99.1888,8,256,32,32,1,1
1.006,99.5129,8,256,32,32,1,1
1.106,89.5364,8,256,32,32,1,1
1.207,99.5735,8,256,32,32,1,1
1.307,89.5911,8,256,32,32,1,1
1.408,69.6687,8,256,32,32,1,1
1.508,99.4748,8,256,32,32,1,1
1.609,89.5385,8,256,32,32,1,1
1.709,99.4865,8,256,32,32,1,1
0.101,49.788,8,256,32,32,1,2
0.201,99.4065,8,256,32,32,1,2
0.302,89.466,8,256,32,32,1,2
0.402,89.5555,8,256,32,32,1,2
0.503,99.5567,8,256,32,32,1,2
0.603,89.613,8,256,32,32,1,2
0.704,69.6486,8,256,32,32,1,2
0.804,89.5225,8,256,32,32,1,2
0.905,99.5106,8,256,32,32,1,2
1.005,99.4932,8,256,32,32,1,2
1.106,89.6028,8,256,32,32,1,2
1.206,89.5748,8,256,32,32,1,2
1.307,99.4857,8,256,32,32,1,2
1.407,69.5991,8,256,32,32,1,2
1.508,99.486,8,256,32,32,1,2
1.608,89.5951,8,256,32,32,1,2
1.709,89.5589,8,256,32,32,1,2
0.101,39.8323,8,256,32,32,1,3
0.201,109.4919,8,256,32,32,1,3
0.302,89.4544,8,256,32,32,1,3
0.402,89.5348,8,256,32,32,1,3
0.503,89.5561,8,256,32,32,1,3
0.603,99.5785,8,256,32,32,1,3
0.704,79.6089,8,256,32,32,1,3
0.804,79.598,8,256,32,32,1,3
0.905,99.5292,8,256,32,32,1,3
1.005,89.558,8,256,32,32,1,3
1.106,89.5855,8,256,32,32,1,3
1.206,99.4998,8,256,32,32,1,3
1.307,89.5615,8,256,32,32,1,3
1.407,79.5827,8,256,32,32,1,3
1.508,89.5827,8,256,32,32,1,3
1.608,99.4016,8,256,32,32,1,3
